,Date,Open,High,Low,Close,Volume,Trading Value,index,Close_9020,Date_9020,diff_9020,Close_9021,Date_9021,diff_9021,Close_9048,Date_9048,diff_9048
0,2016/12/30,19300,19320,19190,19230,282600,5443178000,0,10100,2016/12/30,-0.005416051206302286,7173,2016/12/30,-0.009254143646408863,565,2016/12/30,0.0017730496453900457
1,2016/12/29,19535,19570,19230,19330,328400,6357442500,1,10155,2016/12/29,-0.010716025328787127,7240,2016/12/29,-0.0033039647577092213,564,2016/12/29,-0.010526315789473717
2,2016/12/28,19425,19540,19350,19480,266900,5197855000,2,10265,2016/12/28,0.0014634146341463428,7264,2016/12/28,0.0019310344827585535,570,2016/12/28,0.007067137809187329
3,2016/12/27,19455,19550,19355,19485,227000,4416880500,3,10250,2016/12/27,-0.0009746588693957392,7250,2016/12/27,-0.00521405049396273,566,2016/12/27,-0.01736111111111116
4,2016/12/26,19460,19580,19290,19530,224100,4372533500,4,10260,2016/12/26,-0.01203659123736156,7288,2016/12/26,-0.0012333835822940786,576,2016/12/26,0.0034843205574912606
5,2016/12/22,19595,19605,19420,19545,352200,6873926000,5,10385,2016/12/22,0.006298449612403001,7297,2016/12/22,0.0,574,2016/12/22,0.008787346221441172
6,2016/12/21,19740,19785,19635,19650,409400,8065436500,6,10320,2016/12/21,-0.007692307692307665,7297,2016/12/21,-0.006940664126292906,569,2016/12/21,-0.013864818024263426
7,2016/12/20,19530,19795,19520,19740,360200,7090901500,7,10400,2016/12/20,0.016121152906692693,7348,2016/12/20,0.021406727828746197,577,2016/12/20,0.00874125874125875
8,2016/12/19,19500,19600,19345,19460,497400,9670681500,8,10235,2016/12/19,0.01036525172754188,7194,2016/12/19,0.004608294930875667,572,2016/12/19,-0.0034843205574912606
9,2016/12/16,19300,19350,19190,19315,546300,10541230500,9,10130,2016/12/16,0.006458022851465461,7161,2016/12/16,0.0013984058173681646,574,2016/12/16,0.01773049645390068
